"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
2;"Y1";"Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
3;"U2";"SOT-223";1;"SPX1117";;;
4;"SW-F2,SW-F1";"PinHeader_1x03_P2.54mm_Vertical";2;"SW_SPDT";;;
5;"SW1";"PTS_647_SM38_SMTR2_LFS";1;"RESET_SWITCH";;;
6;"R-R1,R-G1,R-F2,R-F1,R-B1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"10";;;
7;"R3,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
8;"R1";"R_0805_2012Metric";1;"10k";;;
9;"Q-R1,Q-G1,Q-F2,Q-F1,Q-B1";"SOT-223";5;"Q_NMOS_GDSD";;;
10;"J-USB1";"USB_Micro-B";1;"USB_B_Micro";;;
11;"J-RGB1,J-ARGB2,J-ARGB1";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04_Male";;;
12;"J-PWR1";"641737-1";1;"Conn_01x04_Female";;;
13;"J-F2,J-F1";"0470531000";2;"Conn_01x04_Male";;;
14;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
15;"F1";"Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"Polyfuse";;;
16;"C8,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22pF";;;
17;"C6,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
18;"C4,C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1uF";;;
19;"C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10uF";;;
